,category,language,mother_tongue,most_at_home,most_at_work,lang_known
64,Non-Official & Non-Aboriginal languages,Georgian,1710,1040,25,2150
65,Non-Official & Non-Aboriginal languages,German,384040,120335,10065,502735
66,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",525,1630,725,8705
67,Aboriginal languages,Gitxsan (Gitksan),880,315,10,1305
68,Non-Official & Non-Aboriginal languages,Greek,106525,44550,1020,150965
69,Non-Official & Non-Aboriginal languages,Gujarati,108780,64150,885,149045
70,Aboriginal languages,Gwich'in,255,50,10,360
71,Aboriginal languages,Haida,80,10,0,465
72,Aboriginal languages,Haisla,90,20,0,175
73,Non-Official & Non-Aboriginal languages,Haitian Creole,3030,1280,25,6855
74,Non-Official & Non-Aboriginal languages,Hakka,10910,4085,70,12445
75,Aboriginal languages,Halkomelem,480,50,20,1060
76,Non-Official & Non-Aboriginal languages,Harari,1320,735,0,1715
77,Non-Official & Non-Aboriginal languages,Hebrew,19530,8560,825,75020
78,Aboriginal languages,Heiltsuk,100,5,10,125
79,Non-Official & Non-Aboriginal languages,Hiligaynon,6880,2210,25,7925
80,Non-Official & Non-Aboriginal languages,Hindi,110645,55510,1405,433365
81,Non-Official & Non-Aboriginal languages,Hmong-Mien languages,795,335,10,870
82,Non-Official & Non-Aboriginal languages,Hungarian,61235,19480,440,71285
83,Non-Official & Non-Aboriginal languages,Icelandic,1285,270,0,1780
84,Non-Official & Non-Aboriginal languages,Igbo,4235,1000,10,8855
85,Non-Official & Non-Aboriginal languages,Ilocano,26345,9125,110,34530
86,Non-Official & Non-Aboriginal languages,"Indo-Iranian languages, n.i.e.",5185,2380,20,8870
87,Aboriginal languages,Inuinnaqtun (Inuvialuktun),1020,165,30,1975
88,Aboriginal languages,"Inuit languages, n.i.e.",310,90,15,470
89,Aboriginal languages,Inuktitut,35210,29230,8795,40620
90,Aboriginal languages,"Iroquoian languages, n.i.e.",35,5,0,115
91,Non-Official & Non-Aboriginal languages,Italian,375635,115415,1705,574725
92,Non-Official & Non-Aboriginal languages,"Italic (Romance) languages, n.i.e.",720,175,25,2680
93,Non-Official & Non-Aboriginal languages,Japanese,43640,19785,3255,83095
94,Non-Official & Non-Aboriginal languages,Kabyle,13150,5490,15,17120
95,Non-Official & Non-Aboriginal languages,Kannada,3970,1630,10,8245
96,Non-Official & Non-Aboriginal languages,Karenic languages,4705,3860,135,4895
97,Non-Official & Non-Aboriginal languages,Kashmiri,565,135,0,905
98,Aboriginal languages,Kaska (Nahani),180,20,10,365
99,Non-Official & Non-Aboriginal languages,Khmer (Cambodian),20130,10885,475,27035
100,Non-Official & Non-Aboriginal languages,Kinyarwanda (Rwanda),5250,1530,25,7860
101,Non-Official & Non-Aboriginal languages,Konkani,3330,720,10,6790
102,Non-Official & Non-Aboriginal languages,Korean,153425,109705,12150,172750
103,Non-Official & Non-Aboriginal languages,Kurdish,11705,6580,185,15290
104,Aboriginal languages,Kutenai,110,10,0,170
105,Aboriginal languages,Kwakiutl (Kwak'wala),325,25,15,605
106,Non-Official & Non-Aboriginal languages,Lao,12670,6175,150,17235
107,Non-Official & Non-Aboriginal languages,Latvian,5450,1255,35,6500
108,Aboriginal languages,Lillooet,315,25,15,790
109,Non-Official & Non-Aboriginal languages,Lingala,3805,1045,10,17010
110,Non-Official & Non-Aboriginal languages,Lithuanian,7075,2015,60,8185
111,Non-Official & Non-Aboriginal languages,Macedonian,16770,6830,95,23075
112,Non-Official & Non-Aboriginal languages,Malagasy,1430,430,0,2340
113,Non-Official & Non-Aboriginal languages,Malay,12275,3625,140,22470
114,Non-Official & Non-Aboriginal languages,Malayalam,28565,15440,95,37810
115,Aboriginal languages,Malecite,300,55,10,760
116,Non-Official & Non-Aboriginal languages,Maltese,5565,1125,25,7625
117,Non-Official & Non-Aboriginal languages,Mandarin,592040,462890,60090,814450
118,Non-Official & Non-Aboriginal languages,Marathi,8295,3780,30,15565
119,Aboriginal languages,Mi'kmaq,6690,3565,915,9025
120,Aboriginal languages,Michif,465,80,10,1210
121,Non-Official & Non-Aboriginal languages,Min Dong,1230,345,30,1045
122,Non-Official & Non-Aboriginal languages,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",31800,13965,565,42840
123,Aboriginal languages,Mohawk,985,255,30,2415
124,Non-Official & Non-Aboriginal languages,Mongolian,1575,905,10,2095
125,Aboriginal languages,Montagnais (Innu),10235,8585,2055,11445
126,Aboriginal languages,Moose Cree,105,10,0,195
127,Aboriginal languages,Naskapi,1205,1195,370,1465
128,Non-Official & Non-Aboriginal languages,Nepali,18275,13375,195,21385
129,Non-Official & Non-Aboriginal languages,"Niger-Congo languages, n.i.e.",19135,4010,30,40760
130,Non-Official & Non-Aboriginal languages,"Nilo-Saharan languages, n.i.e.",3750,1520,0,4550
131,Aboriginal languages,Nisga'a,400,75,10,1055
132,Aboriginal languages,North Slavey (Hare),765,340,95,1005
133,Aboriginal languages,Northern East Cree,315,110,35,550
134,Aboriginal languages,Northern Tutchone,220,30,0,280
135,Non-Official & Non-Aboriginal languages,Norwegian,4615,350,70,8120
136,Aboriginal languages,Nuu-chah-nulth (Nootka),280,30,10,560
137,Aboriginal languages,Oji-Cree,12855,7905,1080,15605
138,Aboriginal languages,Ojibway,17885,6175,765,28580
139,Aboriginal languages,Okanagan,275,80,20,820
140,Aboriginal languages,Oneida,60,15,0,185
141,Non-Official & Non-Aboriginal languages,Oriya (Odia),1055,475,0,1530
142,Non-Official & Non-Aboriginal languages,Oromo,4960,3410,45,6245
143,Non-Official & Non-Aboriginal languages,"Other languages, n.i.e.",3685,1110,80,9730
144,Aboriginal languages,Ottawa (Odawa),150,75,0,205
145,Non-Official & Non-Aboriginal languages,"Pampangan (Kapampangan, Pampango)",4045,1200,10,5425
146,Non-Official & Non-Aboriginal languages,Pangasinan,1390,240,0,1800
147,Non-Official & Non-Aboriginal languages,Pashto,16905,10590,50,23180
148,Non-Official & Non-Aboriginal languages,Persian (Farsi),214200,143025,4580,252325
149,Aboriginal languages,Plains Cree,3065,1345,95,5905
150,Non-Official & Non-Aboriginal languages,Polish,181710,74780,2495,214965
151,Non-Official & Non-Aboriginal languages,Portuguese,221535,98710,7485,295955
152,Non-Official & Non-Aboriginal languages,Punjabi (Panjabi),501680,349140,27865,668240
153,Non-Official & Non-Aboriginal languages,Quebec Sign Language,695,730,130,4665
154,Non-Official & Non-Aboriginal languages,Romanian,96660,53325,745,115050
155,Non-Official & Non-Aboriginal languages,Rundi (Kirundi),5850,2110,0,8590
156,Non-Official & Non-Aboriginal languages,Russian,188255,116595,4855,269645
157,Aboriginal languages,"Salish languages, n.i.e.",260,25,0,560
158,Aboriginal languages,Sarsi (Sarcee),80,10,0,145
159,Non-Official & Non-Aboriginal languages,Scottish Gaelic,1090,190,15,3980
160,Aboriginal languages,Sekani,85,15,0,185
161,Non-Official & Non-Aboriginal languages,"Semitic languages, n.i.e.",2150,1205,65,3220
162,Non-Official & Non-Aboriginal languages,Serbian,57350,31750,530,73780
163,Non-Official & Non-Aboriginal languages,Serbo-Croatian,9550,3890,30,11275
164,Non-Official & Non-Aboriginal languages,Shona,3185,1035,0,5430
165,Aboriginal languages,Shuswap (Secwepemctsin),445,50,35,1305
166,Non-Official & Non-Aboriginal languages,"Sign languages, n.i.e",4125,6690,645,22280
167,Non-Official & Non-Aboriginal languages,Sindhi,11860,4975,35,20260
168,Non-Official & Non-Aboriginal languages,Sinhala (Sinhalese),16335,7790,40,27825
169,Aboriginal languages,"Siouan languages, n.i.e.",55,20,0,140
170,Aboriginal languages,"Slavey, n.o.s.",280,105,10,675
171,Non-Official & Non-Aboriginal languages,"Slavic languages, n.i.e.",2420,670,10,2995
172,Non-Official & Non-Aboriginal languages,Slovak,17580,5610,100,21470
173,Non-Official & Non-Aboriginal languages,Slovene (Slovenian),9785,2055,15,11490
174,Non-Official & Non-Aboriginal languages,Somali,36755,22895,220,49660
175,Aboriginal languages,South Slavey,945,370,35,1365
176,Aboriginal languages,Southern East Cree,45,15,0,40
177,Aboriginal languages,Southern Tutchone,70,5,0,145
178,Non-Official & Non-Aboriginal languages,Spanish,458850,263505,13030,995260
179,Aboriginal languages,Squamish,40,5,10,285
180,Aboriginal languages,Stoney,3025,1950,240,3675
181,Aboriginal languages,Straits,80,25,15,365
182,Non-Official & Non-Aboriginal languages,Swahili,13370,5370,80,38685
183,Aboriginal languages,Swampy Cree,1440,330,10,2350
184,Non-Official & Non-Aboriginal languages,Swedish,6840,1050,125,14140
185,Non-Official & Non-Aboriginal languages,"Tagalog (Pilipino, Filipino)",431385,213790,3450,612735
186,Aboriginal languages,Tahltan,95,5,0,265
187,Non-Official & Non-Aboriginal languages,"Tai-Kadai languages, n.i.e",85,30,0,115
188,Non-Official & Non-Aboriginal languages,Tamil,140720,96955,2085,189860
189,Non-Official & Non-Aboriginal languages,Telugu,15660,8280,40,23165
190,Non-Official & Non-Aboriginal languages,Thai,9255,3365,525,15395
191,Aboriginal languages,Thompson (Ntlakapamux),335,20,0,450
192,Non-Official & Non-Aboriginal languages,Tibetan,6160,4590,50,7050
193,Non-Official & Non-Aboriginal languages,"Tibeto-Burman languages, n.i.e.",1405,655,15,2380
194,Non-Official & Non-Aboriginal languages,Tigrigna,16645,10205,130,21340
195,Aboriginal languages,Tlingit,95,0,10,260
196,Aboriginal languages,Tsimshian,200,30,10,410
197,Non-Official & Non-Aboriginal languages,"Turkic languages, n.i.e.",1315,455,10,1875
198,Non-Official & Non-Aboriginal languages,Turkish,32815,18955,690,50770
199,Non-Official & Non-Aboriginal languages,Ukrainian,102485,28250,1210,132115
200,Non-Official & Non-Aboriginal languages,"Uralic languages, n.i.e.",10,5,0,25
201,Non-Official & Non-Aboriginal languages,Urdu,210815,128785,1495,322220
202,Non-Official & Non-Aboriginal languages,Uyghur,1035,610,20,1390
203,Non-Official & Non-Aboriginal languages,Uzbek,1720,995,15,2465
204,Non-Official & Non-Aboriginal languages,Vietnamese,156430,104245,8075,198895
205,Non-Official & Non-Aboriginal languages,Vlaams (Flemish),3895,355,35,4400
206,Aboriginal languages,"Wakashan languages, n.i.e.",10,0,0,25
207,Non-Official & Non-Aboriginal languages,Waray-Waray,1110,310,0,1395
208,Non-Official & Non-Aboriginal languages,Welsh,1075,95,0,1695
209,Non-Official & Non-Aboriginal languages,Wolof,3990,1385,10,8240
210,Aboriginal languages,Woods Cree,1840,800,75,2665
211,Non-Official & Non-Aboriginal languages,Wu (Shanghainese),12915,7650,105,16530
212,Non-Official & Non-Aboriginal languages,Yiddish,13555,7085,895,20985
213,Non-Official & Non-Aboriginal languages,Yoruba,9080,2615,15,22415
